Orthogroup	Panther_annotation
OG0000014	 NO HIT
OG0000047	 SUBFAMILY NOT NAMED
OG0000106	 SUBFAMILY NOT NAMED
OG0000129	 HISTONE H4
OG0000145	 TIGGER TRANSPOSABLE ELEMENT-DERIVED PROTEIN 4
OG0000167	 UBIQUITIN-LIKE PROTEIN 4A
OG0000231	 SUBFAMILY NOT NAMED
OG0000233	 NO HIT
OG0000289	 SUBFAMILY NOT NAMED
OG0000367	 SUBFAMILY NOT NAMED
OG0000404	 52 KDA REPRESSOR OF THE INHIBITOR OF THE PROTEIN KINASE-LIKE PROTEIN
OG0000495	 SI:DKEYP-61B2.1-RELATED
OG0000620	 FAMILY NOT NAMED
OG0000772	 SUBFAMILY NOT NAMED
OG0000882	 NO HIT
OG0001091	 EGF-LIKE AND EMI DOMAIN-CONTAINING PROTEIN 1-RELATED
OG0001158	
OG0001195	
OG0001277	 DNA-DIRECTED RNA POLYMERASES I II AND III SUBUNIT RPABC2
OG0001459	 SI:CH211-57F7.7
OG0001517	
OG0001695	 NUCLEOSOME-REMODELING FACTOR SUBUNIT BPTF
OG0001971	
OG0002005	 NO HIT
OG0002174	 PROTEIN APTEROUS
OG0002196	 FAMILY NOT NAMED
OG0002211	
OG0002237	 IMMUNOGLOBULIN SUPERFAMILY MEMBER 22
OG0002455	 AMILORIDE-SENSITIVE SODIUM CHANNEL-RELATED
OG0002763	
OG0002766	 SUBFAMILY NOT NAMED
OG0002799	 ATHERIN-RELATED
OG0002941	 SIN3-HDAC COMPLEX-ASSOCIATED FACTOR -LIKE-RELATED
OG0002978	 HBS1-LIKE PROTEIN
OG0003282	 SERINE/ARGININE-RICH SPLICING FACTOR 2
OG0003466	
OG0003963	 HISTONE-LYSINE N-METHYLTRANSFERASE ASH1
OG0004246	
OG0004499	
OG0004940	
OG0004976	 KPL2-RELATED
OG0005112	 ATP-DEPENDENT DNA HELICASE Q-LIKE 4A
OG0005899	 BROMODOMAIN ADJACENT TO ZINC FINGER DOMAIN PROTEIN 1A
OG0006125	 DEOXYURIDINE TRIPHOSPHATASE
OG0006174	
OG0007116	 SI:DKEY-51D8.9
OG0007326	 ATP-DEPENDENT DNA HELICASE Q5
OG0007621	 G-PROTEIN COUPLED RECEPTOR
OG0007981	 .
OG0008105	
OG0008149	 REMODELING AND SPACING FACTOR 1
OG0008404	
OG0008781	 NO HIT
OG0008890	
OG0008970	 AN1-TYPE ZINC FINGER PROTEIN 4
OG0009018	 SUBFAMILY NOT NAMED
OG0009295	
OG0009393	
OG0009396	 TRANSMEMBRANE PROTEIN 258
OG0009460	 CHORDIN
OG0009484	 OTU DOMAIN-CONTAINING PROTEIN 3
OG0009811	 PHD AND RING FINGER DOMAIN-CONTAINING PROTEIN 1
OG0009974	 NO HIT
OG0010098	
OG0010101	
OG0010120	 ZGC:112160
OG0010125	 PROTEIN CBG12054
OG0010306	 FI11917P
OG0010374	 MACROGLOBULIN / COMPLEMENT
OG0010382	
OG0010730	 NO HIT
OG0010923	
OG0010938	 NO HIT
OG0011144	 SUBFAMILY NOT NAMED
OG0011203	 ANNEXIN
OG0011244	 SUBFAMILY NOT NAMED
OG0011245	 SI:DKEY-31C13.1
OG0011361	
OG0011535	
OG0011550	
OG0011578	
OG0011631	 SOX TRANSCRIPTION FACTOR
OG0011692	
OG0011758	 T-CELL RECEPTOR ALPHA CHAIN V REGION-RELATED
OG0011842	
OG0011859	
OG0012121	
OG0012135	 NO HIT
OG0012308	 CADHERIN 88C
OG0012483	 GRIP AND COILED-COIL DOMAIN-CONTAINING PROTEIN 2
OG0012703	
OG0012752	
OG0012838	 SUBFAMILY NOT NAMED
OG0012923	
OG0012996	 NO HIT
OG0013003	 NO HIT
OG0013072	 NO HIT
OG0013337	 EPHRIN TYPE-B RECEPTOR 2
OG0013386	 NO HIT
OG0013402	 DENN DOMAIN-CONTAINING PROTEIN 4C
OG0013568	 EXCITATORY AMINO ACID TRANSPORTER
OG0013605	 NO HIT
OG0013726	 TRACE AMINE-ASSOCIATED RECEPTOR 19N
OG0013731	 FAMILY NOT NAMED
OG0013761	
OG0013940	
OG0013980	 FIBRINOGEN/TENASCIN/ANGIOPOEITIN
OG0014003	 OS10G0105400 PROTEIN
OG0014044	
OG0014150	
OG0014183	 FMRFAMIDE RECEPTOR-RELATED
OG0014202	 BNAA03G49290D PROTEIN
OG0014341	
OG0014398	
OG0014455	 NO HIT
OG0014458	 NO HIT
OG0014680	 DYNEIN HEAVY CHAIN 8 AXONEMAL
OG0014723	 POLYCYSTIC KIDNEY AND HEPATIC DISEASE 1 (AUTOSOMAL RECESSIVE)-LIKE 1
OG0014801	 UNCONVENTIONAL MYOSIN-ID
OG0014903	 NIMA RELATED KINASE 1
OG0014927	 MACROGLOBULIN / COMPLEMENT
OG0015086	
OG0015154	 HEART DEVELOPMENT PROTEIN WITH EGF-LIKE DOMAINS 1
OG0015186	
OG0015196	
OG0015344	 NO HIT
OG0015369	 NO HIT
OG0015394	 SQUAMOUS CELL CARCINOMA ANTIGEN RECOGNIZED BY T-CELLS 3
OG0015401	 SUBFAMILY NOT NAMED
OG0015510	 CROSSVEINLESS 2
OG0015655	 RT07201P-RELATED
OG0015721	
OG0015801	 OS10G0105400 PROTEIN
OG0015809	
OG0015815	
OG0015858	
OG0015939	 SUBFAMILY NOT NAMED
OG0015960	 FIBRINOGEN/TENASCIN/ANGIOPOEITIN
OG0016023	 NO HIT
OG0016148	 BLOODY FINGERS-RELATED
OG0016179	
OG0016241	 KELCH-LIKE PROTEIN 24 ISOFORM X1
OG0016329	
OG0016382	
OG0016444	 GLYCINE RECEPTOR SUBUNIT ALPHA-4
OG0016448	 SUBFAMILY NOT NAMED
OG0016481	 NO HIT
OG0016622	
OG0016672	 ATP-DEPENDENT DNA HELICASE
OG0017010	 LONG-CHAIN-FATTY-ACID--COA LIGASE 1
OG0017036	 OS10G0105400 PROTEIN
OG0017045	 PFKB-LIKE CARBOHYDRATE KINASE FAMILY PROTEIN
OG0017079	 COILED-COIL DOMAIN-CONTAINING PROTEIN 102A
OG0017188	 EPHRIN TYPE-B RECEPTOR
OG0017190	 SYNTAXIN-BINDING PROTEIN 5-LIKE
OG0017193	 OS10G0105400 PROTEIN
OG0017211	 ANKYRIN REPEAT DOMAIN-CONTAINING PROTEIN 50-LIKE PROTEIN
OG0017266	
OG0017267	 NO HIT
OG0017331	 NEUREXIN 2B
OG0017359	
OG0017393	
OG0017514	
OG0017629	
OG0017635	 ABC TRANSPORTER B FAMILY
OG0017694	
OG0017771	 PRE-B-CELL LEUKEMIA TRANSCRIPTION FACTOR 2
OG0017886	 NO HIT
OG0017929	 SUBFAMILY NOT NAMED
OG0017964	 FAMILY NOT NAMED
OG0017985	 POLYCYSTIN FAMILY MEMBER
OG0017999	 NO HIT
OG0018034	 SUBFAMILY NOT NAMED
OG0018322	
OG0018707	
OG0018710	
OG0018722	
OG0018752	 .
OG0018965	 ESTROGEN-RELATED RECEPTOR SPLICE VARIANT
OG0018968	
OG0018971	 PROTEIN EURL HOMOLOG
OG0018972	 BETA4GALNACTA
OG0019009	
OG0019061	 GLYCEROL KINASE
OG0019165	 HEXAMETHYLENE BISACETAMIDE INDUCIBLE 1
OG0019280	
OG0019469	
OG0019539	
OG0019714	 VOLTAGE-DEPENDENT CALCIUM CHANNEL SUBUNIT ALPHA-2/DELTA-3-LIKE PROTEIN
OG0019851	 SUBFAMILY NOT NAMED
OG0019877	 NO HIT
OG0019948	 TUMOR NECROSIS FACTOR RECEPTOR SUPERFAMILY MEMBER 13B
OG0019958	 NO HIT
OG0019959	 NO HIT
OG0019973	 NO HIT
OG0020000	 NO HIT
OG0020015	 ARMADILLO-TYPE FOLD-RELATED
OG0020022	 NO HIT
OG0020027	 NO HIT
OG0020032	 HAT FAMILY DIMERISATION DOMAINCONTAINING PROTEIN
OG0020039	 NO HIT
OG0020047	 PROTEIN LIN-12
OG0020086	 SUBFAMILY NOT NAMED
OG0020089	 NO HIT
OG0020110	 NO HIT
OG0020152	 "CHROMATIN-LINKED ADAPTOR FOR MSL PROTEINS ISOFORM B-RELATED"
OG0020298	
OG0021030	
OG0021079	
OG0021165	 SODIUM/MYO-INOSITOL COTRANSPORTER
OG0021166	
