OG0009082	RPACG00000019490.1
OG0010839	RPACG00000013143.1, RPACG00000014737.1, RPACG00000029516.1
OG0010842	RPACG00000001714.1
OG0011449	RPACG00000018608.1, RPACG00000018609.1, RPACG00000018610.1, RPACG00000018611.1, RPACG00000018612.1, RPACG00000018613.1, RPACG00000018614.1, RPACG00000018615.1, RPACG00000018616.1, RPACG00000018617.1, RPACG00000018618.1, RPACG00000018619.1, RPACG00000018620.1, RPACG00000018621.1, RPACG00000018622.1
OG0013128	RPACG00000010630.1
OG0013782	RPACG00000003099.1
OG0013792	RPACG00000008351.1, RPACG00000008352.1, RPACG00000010193.1, RPACG00000010197.1, RPACG00000010198.1, RPACG00000010199.1, RPACG00000010204.1, RPACG00000010205.1, RPACG00000019784.1, RPACG00000030516.1
OG0015476	RPACG00000011132.1
OG0015477	RPACG00000029755.1
OG0016629	RPACG00000027006.1
OG0016632	RPACG00000019488.1
OG0018190	RPACG00000001933.1, RPACG00000001938.1
OG0018192	RPACG00000033788.1
OG0018196	RPACG00000003431.1, RPACG00000007583.1, RPACG00000007584.1, RPACG00000007585.1, RPACG00000018080.1, RPACG00000021985.1
OG0018200	RPACG00000006589.1
OG0018224	RPACG00000001115.1, RPACG00000029819.1
OG0020361	RPACG00000007249.1, RPACG00000007255.1, RPACG00000025190.1
OG0020362	RPACG00000012178.1, RPACG00000017295.1
OG0020367	RPACG00000025526.1, RPACG00000026858.1
OG0020368	RPACG00000007506.1
OG0020375	RPACG00000030886.1
OG0020377	RPACG00000019539.1
OG0020391	RPACG00000017000.1
OG0020403	RPACG00000012985.1, RPACG00000012988.1, RPACG00000012991.1, RPACG00000012994.1, RPACG00000012997.1
OG0020404	RPACG00000010275.1, RPACG00000015531.1, RPACG00000015532.1, RPACG00000019624.1
OG0020415	RPACG00000007953.1
OG0023490	RPACG00000019861.1
OG0023508	RPACG00000024803.1, RPACG00000024804.1
OG0023521	RPACG00000019142.1
OG0023522	RPACG00000035907.1
OG0023527	RPACG00000004175.1
OG0023535	RPACG00000011682.1, RPACG00000020542.1
OG0023544	RPACG00000002432.1, RPACG00000002439.1
OG0023547	RPACG00000010594.1, RPACG00000017221.1
OG0023549	RPACG00000034574.1, RPACG00000034576.1, RPACG00000034577.1
OG0023550	RPACG00000008213.1, RPACG00000008214.1, RPACG00000008217.1, RPACG00000022493.1
