OG0009082																		Oalv|OALVG00000006949.1, Oalv|OALVG00000007695.1, Oalv|OALVG00000009956.1, Oalv|OALVG00000018843.1, Oalv|OALVG00000018844.1, Oalv|OALVG00000018845.1, Oalv|OALVG00000018846.1, Oalv|OALVG00000018847.1, Oalv|OALVG00000019101.1, Oalv|OALVG00000019103.1, Oalv|OALVG00000019104.1, Oalv|OALVG00000019106.1, Oalv|OALVG00000019610.1, Oalv|OALVG00000019611.1, Oalv|OALVG00000019613.1, Oalv|OALVG00000019680.1, Oalv|OALVG00000019681.1, Oalv|OALVG00000019682.1, Oalv|OALVG00000019683.1, Oalv|OALVG00000019684.1, Oalv|OALVG00000019688.1, Oalv|OALVG00000019689.1, Oalv|OALVG00000031310.1					Rpac|RPACG00000019490.1					
OG0010839																		Oalv|OALVG00000007394.1, Oalv|OALVG00000009165.1, Oalv|OALVG00000011596.1, Oalv|OALVG00000011597.1, Oalv|OALVG00000011599.1, Oalv|OALVG00000011601.1, Oalv|OALVG00000011619.1, Oalv|OALVG00000011621.1, Oalv|OALVG00000011622.1, Oalv|OALVG00000035161.1, Oalv|OALVG00000035162.1, Oalv|OALVG00000035163.1, Oalv|OALVG00000035188.1, Oalv|OALVG00000035189.1, Oalv|OALVG00000035249.1					Rpac|RPACG00000013143.1, Rpac|RPACG00000014737.1, Rpac|RPACG00000029516.1					
OG0010842																		Oalv|OALVG00000022396.1, Oalv|OALVG00000025010.1, Oalv|OALVG00000025011.1, Oalv|OALVG00000025013.1, Oalv|OALVG00000025522.1, Oalv|OALVG00000025537.1, Oalv|OALVG00000026029.1, Oalv|OALVG00000026721.1, Oalv|OALVG00000026852.1, Oalv|OALVG00000028601.1, Oalv|OALVG00000028605.1, Oalv|OALVG00000028606.1, Oalv|OALVG00000028607.1, Oalv|OALVG00000029328.1, Oalv|OALVG00000030080.1, Oalv|OALVG00000031829.1, Oalv|OALVG00000035124.1					Rpac|RPACG00000001714.1					
OG0011449																		Oalv|OALVG00000005693.1					Rpac|RPACG00000018608.1, Rpac|RPACG00000018609.1, Rpac|RPACG00000018610.1, Rpac|RPACG00000018611.1, Rpac|RPACG00000018612.1, Rpac|RPACG00000018613.1, Rpac|RPACG00000018614.1, Rpac|RPACG00000018615.1, Rpac|RPACG00000018616.1, Rpac|RPACG00000018617.1, Rpac|RPACG00000018618.1, Rpac|RPACG00000018619.1, Rpac|RPACG00000018620.1, Rpac|RPACG00000018621.1, Rpac|RPACG00000018622.1					
OG0013128																		Oalv|OALVG00000001113.1, Oalv|OALVG00000005306.1, Oalv|OALVG00000006268.1, Oalv|OALVG00000006269.1, Oalv|OALVG00000006394.1, Oalv|OALVG00000016883.1, Oalv|OALVG00000017095.1, Oalv|OALVG00000029638.1, Oalv|OALVG00000029639.1, Oalv|OALVG00000031042.1, Oalv|OALVG00000031872.1					Rpac|RPACG00000010630.1					
OG0013782																		Oalv|OALVG00000003353.1, Oalv|OALVG00000003354.1, Oalv|OALVG00000007639.1, Oalv|OALVG00000008439.1, Oalv|OALVG00000008631.1, Oalv|OALVG00000013635.1, Oalv|OALVG00000013636.1, Oalv|OALVG00000013637.1, Oalv|OALVG00000029029.1, Oalv|OALVG00000029030.1					Rpac|RPACG00000003099.1					
OG0013792																		Oalv|OALVG00000016546.1					Rpac|RPACG00000008351.1, Rpac|RPACG00000008352.1, Rpac|RPACG00000010193.1, Rpac|RPACG00000010197.1, Rpac|RPACG00000010198.1, Rpac|RPACG00000010199.1, Rpac|RPACG00000010204.1, Rpac|RPACG00000010205.1, Rpac|RPACG00000019784.1, Rpac|RPACG00000030516.1					
OG0015476																		Oalv|OALVG00000000089.1, Oalv|OALVG00000000103.1, Oalv|OALVG00000000105.1, Oalv|OALVG00000000106.1, Oalv|OALVG00000009801.1, Oalv|OALVG00000015044.1, Oalv|OALVG00000015049.1, Oalv|OALVG00000033746.1					Rpac|RPACG00000011132.1					
OG0015477																		Oalv|OALVG00000000555.1, Oalv|OALVG00000006389.1, Oalv|OALVG00000006391.1, Oalv|OALVG00000017969.1, Oalv|OALVG00000017970.1, Oalv|OALVG00000034331.1, Oalv|OALVG00000034332.1, Oalv|OALVG00000034333.1					Rpac|RPACG00000029755.1					
OG0016629																		Oalv|OALVG00000002395.1, Oalv|OALVG00000018515.1, Oalv|OALVG00000018520.1, Oalv|OALVG00000018523.1, Oalv|OALVG00000018524.1, Oalv|OALVG00000018527.1, Oalv|OALVG00000018532.1					Rpac|RPACG00000027006.1					
